(0, 0)
(0, 1)
(0, 2)
(0, 3)
(0, 4)
(0, 5)
(0, 6)
(0, 7)
(0, 9)
(0, 10)
(0, 11)
(0, 12)
(0, 13)
(0, 14)
(0, 15)
(0, 16)
(0, 17)
(0, 18)
(0, 19)
(0, 20)
(0, 21)
(0, 22)
(0, 23)
(0, 24)
(0, 25)
(0, 26)
(1, 26)
(2, 26)
(3, 26)
(4, 26)
(6, 26)
(5, 26)
(7, 26)
(8, 26)
(10, 26)
(9, 26)
(11, 26)
(12, 26)
(13, 26)
(14, 26)
(16, 26)
(17, 26)
(18, 26)
(15, 26)
(19, 26)
(20, 26)
(22, 26)
(23, 26)
(24, 26)
(21, 26)
(25, 26)
(26, 26)
(28, 26)
(27, 26)
(30, 26)
(29, 26)
(31, 26)
(32, 26)
(33, 26)
(34, 26)
(35, 26)
(36, 26)
(37, 26)
(38, 26)
(39, 26)
(41, 26)
(40, 26)
(42, 26)
(43, 26)
(44, 26)
(45, 26)
(46, 26)
(47, 26)
(47, 25)
(47, 24)
(47, 23)
(47, 22)
(47, 21)
(47, 19)
(47, 17)
(47, 16)
(47, 0)
(47, 1)
(47, 2)
(47, 3)
(47, 4)
(47, 5)
(47, 6)
(47, 7)
(47, 8)
(47, 9)
(47, 12)
(47, 13)
(47, 15)
(47, 14)
(47, 10)
(47, 11)
(47, 18)
(47, 20)
(0, 8)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(6, 0)
(7, 0)
(5, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(23, 0)
(26, 0)
(27, 0)
(29, 0)
(33, 0)
(46, 0)
(45, 0)
(44, 0)
(43, 0)
(42, 0)
(40, 0)
(39, 0)
(41, 0)
(38, 0)
(37, 0)
(36, 0)
(35, 0)
(34, 0)
(32, 0)
(31, 0)
(30, 0)
(28, 0)
(25, 0)
(24, 0)
(22, 0)
(6, 6)
(6, 20)
(41, 20)
(41, 6)
(8, 6)
(7, 6)
(9, 6)
(10, 6)
(11, 6)
(12, 6)
(13, 6)
(14, 6)
(15, 6)
(17, 6)
(16, 6)
(18, 6)
(19, 6)
(20, 6)
(21, 6)
(22, 6)
(23, 6)
(24, 6)
(25, 6)
(27, 6)
(26, 6)
(28, 6)
(29, 6)
(30, 6)
(31, 6)
(32, 6)
(33, 6)
(34, 6)
(35, 6)
(36, 6)
(37, 6)
(38, 6)
(40, 6)
(39, 6)
(41, 7)
(41, 8)
(41, 9)
(41, 10)
(41, 11)
(41, 13)
(41, 12)
(41, 14)
(41, 15)
(41, 16)
(41, 17)
(41, 18)
(41, 19)
(7, 20)
(8, 20)
(9, 20)
(10, 20)
(11, 20)
(12, 20)
(13, 20)
(15, 20)
(17, 20)
(14, 20)
(16, 20)
(18, 20)
(19, 20)
(20, 20)
(21, 20)
(23, 20)
(24, 20)
(22, 20)
(25, 20)
(27, 20)
(28, 20)
(26, 20)
(29, 20)
(30, 20)
(31, 20)
(32, 20)
(33, 20)
(34, 20)
(35, 20)
(36, 20)
(37, 20)
(38, 20)
(39, 20)
(40, 20)
(6, 19)
(6, 18)
(6, 17)
(6, 16)
(6, 15)
(6, 14)
(6, 13)
(6, 12)
(6, 11)
(6, 10)
(6, 9)
(6, 8)
(6, 7)
